,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
400,45331,OH,40.1,-84.6,4,550100,39,037,8.8
401,45338,OH,39.84,-84.57,1,420100,39,135,8.5
402,45385,OH,39.7,-83.9,1,240600,39,057,6.9
403,45414,OH,39.83,-84.21,1,080500,39,113,2.4
404,45424,OH,39.84,-84.11,1,100400,39,113,14.8
405,45440,OH,39.67,-84.1,1,220100,39,057,9.9
406,45710,OH,39.2,-82.2,1,964300,39,105,12.9
407,46123,IN,39.76,-86.39,1,210606,18,063,8.3
408,46148,IN,39.82,-85.52,1,976700,18,065,7.0
409,46205,IN,39.82,-86.12,1,350500,18,097,7.2
410,46219,IN,39.78,-86.05,1,360700,18,097,6.9
411,46234,IN,39.81,-86.32,1,340114,18,097,10.0
412,46237,IN,39.68,-86.09,1,380902,18,097,6.5
413,46250,IN,39.91,-86.07,1,320304,18,097,5.9
414,46260,IN,39.9,-86.18,1,320109,18,097,6.1
415,46268,IN,39.9,-86.23,1,310105,18,097,3.6
416,46385,IN,41.5,-87.1,1,050603,18,127,3.4
417,46514,IN,41.72,-85.97,1,001601,18,039,6.1
418,46554,IN,41.6,-86.4,1,012000,18,141,10.0
419,46637,IN,41.73,-86.24,1,011302,18,141,5.7
420,46804,IN,41.05,-85.24,1,011603,18,003,5.6
421,47150,IN,38.3,-85.8,1,070302,18,043,10.0
422,47203,IN,39.2,-85.8,1,011300,18,005,6.7
423,47265,IN,39.0,-85.6,1,960200,18,079,9.9
424,47404,IN,39.2,-86.6,1,001305,18,105,8.0
425,47710,IN,38.02,-87.58,2,003900,18,163,9.4
426,47712,IN,37.9,-87.7,1,010403,18,163,7.0
427,47906,IN,40.5,-87.0,3,010201,18,157,5.7
428,48067,MI,42.49,-83.14,1,184200,26,125,3.5
429,48069,MI,42.47,-83.14,1,187000,26,125,6.2
430,48096,MI,42.76,-82.92,1,216000,26,099,5.7
431,48103,MI,42.3,-83.9,2,448000,26,161,6.8
432,48137,MI,42.5,-84.1,4,732100,26,093,13.1
433,48152,MI,42.42,-83.37,2,556800,26,163,8.2
434,48158,MI,42.2,-84.0,1,432000,26,161,
435,48169,MI,42.5,-83.9,1,743400,26,093,10.3
436,48301,MI,42.54,-83.28,1,150900,26,125,7.0
437,48307,MI,42.66,-83.12,1,193400,26,125,4.7
438,48322,MI,42.54,-83.38,1,157800,26,125,5.4
439,48324,MI,42.59,-83.38,1,154500,26,125,5.0
440,48357,MI,42.65,-83.64,1,131800,26,125,7.9
441,48603,MI,43.47,-84.02,1,010302,26,145,8.2
442,48611,MI,43.64,-84.09,2,285600,26,017,11.0
443,48823,MI,42.76,-84.44,1,004600,26,065,9.6
444,48840,MI,42.77,-84.37,4,011101,26,037,6.4
445,48864,MI,42.71,-84.4,1,004901,26,065,4.9
446,48910,MI,42.7,-84.52,1,002901,26,065,2.6
447,49024,MI,42.2,-85.62,1,002002,26,077,8.7
448,49245,MI,42.1,-84.8,1,003100,26,025,5.8
449,49406,MI,42.64,-86.2,1,030800,26,005,8.9
450,49412,MI,43.5,-85.9,1,970600,26,123,6.7
451,49418,MI,42.88,-85.78,1,013100,26,081,4.6
